name,sector,cost_of_capital,is_active,shape,max_lead_hours,max_lag_hours
aviation,transportation,0.07,TRUE,,,
Busses,transportation,0.07,TRUE,,,
commercial,commercial,0.07,TRUE,,,
freight transport,transportation,0.07,TRUE,,,
Light-duty vehicle,transportation,0.07,TRUE,,,
rail,transportation,0.07,TRUE,,,
residential,residential,0.07,TRUE,,,
Two & three wheelers,transportation,0.07,TRUE,,,
o&g upstream ,industry,0.07,TRUE,,,
o&g downstream,industry,0.07,TRUE,,,
iron & steel,industry,0.07,TRUE,,,
chemicals,industry,0.07,TRUE,,,
cement,industry,0.07,TRUE,,,
mining,industry,0.07,TRUE,,,
construction,industry,0.07,TRUE,,,
other manufacturing,industry,0.07,TRUE,,,
agriculture & livestock,industry,0.07,TRUE,,,
